Depth(X),Depth(Y),Depth_dt(X),Depth_dt(Y),Tension(X),Tension(Y)
42908.17483,1.59375002,42908.17484,0,42908.17483,-11.747153
42908.17484,1.59375002,42908.17485,17.06244493,42908.17484,-11.56642757
42908.17485,1.878124102,42908.17486,20.81242786,42908.17485,-10.84352584
42908.17486,2.224997983,42908.17487,31.87490472,42908.17486,-11.56642757
42908.17487,2.756246268,42908.17488,37.12487132,42908.17487,-11.56642757
42908.17488,3.374994271,42908.1749,40.87488756,42908.17488,-12.47005472
42908.1749,4.056242072,42908.17491,33.18738497,42908.1749,-12.10860386
42908.17491,4.609365287,42908.17492,32.43738757,42908.17491,-11.747153
42908.17492,5.149988542,42908.17493,35.06240355,42908.17492,-11.56642757
42908.17493,5.734361656,42908.17494,34.31238107,42908.17493,-11.38570214
42908.17494,6.30623481,42908.17495,38.06236807,42908.17494,-13.19295644
42908.17495,6.940607762,42908.17497,39.18738286,42908.17495,-11.747153
42908.17497,7.593730654,42908.17498,41.06235768,42908.17497,-13.19295644
42908.17498,8.278103446,42908.17499,44.24987828,42908.17498,-12.10860386
42908.17499,9.015601065,42908.175,41.24985703,42908.17499,-11.02425127
42908.175,9.703098846,42908.17501,46.49983883,42908.175,-11.56642757
42908.17501,10.47809634,42908.17502,42.18738395,42908.17501,-12.28932929
42908.17502,11.18121908,42908.17503,44.62484533,42908.17502,-11.02425127
42908.17503,11.92496667,42908.17505,43.68734858,42908.17503,-11.56642757
42908.17505,12.65308932,42908.17506,43.68736941,42908.17505,-11.38570214
42908.17506,13.38121197,42908.17507,47.99983363,42908.17506,-11.56642757
42908.17507,14.18120939,42908.17508,45.56237467,42908.17507,-12.10860386
42908.17508,14.94058194,42908.17509,47.99983363,42908.17508,-13.19295644
42908.17509,15.74057936,42908.1751,47.62483493,42908.17509,-12.28932929
42908.1751,16.5343268,42908.17512,44.99987621,42908.1751,-11.38570214
42908.17512,17.28432438,42908.17513,48.37483233,42908.17512,-12.28932929
42908.17513,18.09057177,42908.17514,47.24983623,42908.17513,-12.10860386
42908.17514,18.87806923,42908.17515,45.5623638,42908.17514,-11.56642757
42908.17515,19.63744178,42908.17516,32.62488692,42908.17515,-12.10860386
42908.17516,20.18119003,42908.17517,0.937497421,42908.17516,-12.10860386
