Depth(X),Depth(Y),Depth_dt(X),Depth_dt(Y),Tension(X),Tension(Y)
42910.2564,-15.3,42910.25641,0,42910.2564,0
42910.25641,-15.3,42910.25642,6.562477254,42910.25641,5.783213784
42910.25642,-15.19062535,42910.25644,28.49990122,42910.25642,4.87958663
42910.25644,-14.71562689,42910.25645,35.81240149,42910.25644,4.337410338
42910.25645,-14.11875381,42910.25646,32.06238887,42910.25645,4.87958663
42910.25646,-13.58438054,42910.25647,33.1874008,42910.25646,5.783213784
42910.25647,-13.03125732,42910.25648,32.81238627,42910.25647,6.686840937
42910.25648,-12.48438409,42910.25649,35.06237847,42910.25648,3.433783184
42910.25649,-11.90001097,42910.2565,33.93740665,42910.25649,3.433783184
42910.2565,-11.3343878,42910.25652,33.18738497,42910.2565,3.072332323
42910.25652,-10.78126458,42910.25653,36.18737457,42910.25652,3.795234045
42910.25653,-10.17814153,42910.25654,31.31241387,42910.25653,2.168705169
42910.25654,-9.656268216,42910.25655,35.62487652,42910.25654,5.060312061
42910.25655,-9.062520132,42910.25656,32.06240416,42910.25655,3.433783184
42910.25656,-8.528146857,42910.25657,32.62488692,42910.25656,2.891606892
42910.25657,-7.984398612,42910.25659,36.18737457,42910.25657,4.87958663
42910.25659,-7.381275559,42910.2566,32.81240974,42910.25659,4.156684907
42910.2566,-6.834402324,42910.25661,31.49989082,42910.2566,3.795234045
42910.25661,-6.309404018,42910.25662,32.99988562,42910.25661,3.795234045
42910.25662,-5.759405794,42910.25663,33.18740871,42910.25662,3.614508615
42910.25663,-5.206282579,42910.25664,32.81238627,42910.25663,2.3494306
42910.25664,-4.659409344,42910.25666,32.2499036,42910.25664,3.795234045
42910.25666,-4.121911079,42910.25667,32.99989349,42910.25666,3.072332323
42910.25667,-3.571912854,42910.25668,32.99988562,42910.25667,3.072332323
42910.25668,-3.021914629,42910.25669,32.99990136,42910.25668,2.710881461
42910.25669,-2.471916404,42910.2567,33.18738497,42910.25669,3.614508615
42910.2567,-1.91879319,42910.25671,33.74988302,42910.2567,3.614508615
42910.25671,-1.356295005,42910.25672,32.62491026,42910.25671,3.072332323
42910.25672,-0.81254676,42910.25674,33.18738497,42910.25672,4.337410338
42910.25674,-0.259423545,42910.25675,33.18740871,42910.25674,3.433783184
42910.25675,0.293699669,42910.25676,36.74987262,42910.25675,3.795234045
42910.25676,0.906197692,42910.25677,31.68739017,42910.25676,3.433783184
42910.25677,1.434320988,42910.25678,32.43740304,42910.25677,3.433783184
42910.25678,1.974944243,42910.25679,33.18738497,42910.25678,3.795234045
42910.25679,2.528067458,42910.25681,30.56239407,42910.25679,2.891606892
42910.25681,3.037440813,42910.25682,19.31244688,42910.25681,3.795234045
42910.25682,3.359314775,42910.25683,17.81243826,42910.25682,3.072332323
42910.25683,3.656188816,42910.25684,17.62495152,42910.25683,3.072332323
42910.25684,3.949937868,42910.25685,17.43743956,42910.25684,5.060312061
42910.25685,4.24056193,42910.25686,3.374988302,42910.25685,2.891606892
42910.25686,4.296811749,42910.25688,-0.374998879,42910.25686,2.3494306
42910.25688,4.290561769,42910.25689,-1.312495451,42910.25688,3.614508615
42910.25689,4.268686839,42910.2569,-1.687494151,42910.25689,5.060312061
42910.2569,4.24056193,42910.25691,-6.562481948,42910.2569,4.156684907
42910.25691,4.131187283,42910.25692,-0.3749987,42910.25691,3.433783184
42910.25692,4.124937303,42910.25693,0,42910.25692,3.795234045
42910.25693,4.124937303,42910.25694,0,42910.25693,3.614508615
42910.25694,4.124937303,42910.25696,0,42910.25694,4.156684907
42910.25696,4.124937303,42910.25697,0,42910.25696,3.433783184
42910.25697,4.124937303,42910.25698,0,42910.25697,3.072332323
42910.25698,4.124937303,42910.25699,0,42910.25698,3.795234045
42910.25699,4.124937303,42910.257,0,42910.25699,4.337410338
42910.257,4.124937303,42910.25701,0,42910.257,3.614508615
42910.25701,4.124937303,42910.25703,0,42910.25701,3.433783184
42910.25703,4.124937303,42910.25704,0,42910.25703,3.614508615
42910.25704,4.124937303,42910.25705,0,42910.25704,2.710881461
42910.25705,4.124937303,42910.25706,0,42910.25705,4.156684907
42910.25706,4.124937303,42910.25707,0,42910.25706,3.795234045
42910.25707,4.124937303,42910.25708,0,42910.25707,4.156684907
42910.25708,4.124937303,42910.25709,0,42910.25708,4.518135768
42910.25709,4.124937303,42910.25711,0,42910.25709,4.337410338
42910.25711,4.124937303,42910.25712,0,42910.25711,4.337410338
42910.25712,4.124937303,42910.25713,0,42910.25712,3.795234045
42910.25713,4.124937303,42910.25714,0,42910.25713,3.433783184
42910.25714,4.124937303,42910.25715,0,42910.25714,3.433783184
42910.25715,4.124937303,42910.25716,0,42910.25715,4.337410338
42910.25716,4.124937303,42910.25718,0,42910.25716,3.795234045
42910.25718,4.124937303,42910.25719,0,42910.25718,2.891606892
42910.25719,4.124937303,42910.2572,0,42910.25719,3.795234045
42910.2572,4.124937303,42910.25721,0,42910.2572,4.518135768
42910.25721,4.124937303,42910.25722,0,42910.25721,4.337410338
42910.25722,4.124937303,42910.25723,0,42910.25722,3.072332323
42910.25723,4.124937303,42910.25725,0,42910.25723,3.795234045
42910.25725,4.124937303,42910.25726,0,42910.25725,4.337410338
42910.25726,4.124937303,42910.25727,0,42910.25726,3.614508615
42910.25727,4.124937303,42910.25728,0,42910.25727,4.87958663
42910.25728,4.124937303,42910.25729,0,42910.25728,3.614508615
42910.25729,4.124937303,42910.2573,0.18749935,42910.25729,2.710881461
42910.2573,4.128062293,42910.25731,0,42910.2573,3.614508615
42910.25731,4.128062293,42910.25733,0,42910.25731,4.337410338
42910.25733,4.128062293,42910.25734,0,42910.25733,2.710881461
42910.25734,4.128062293,42910.25735,0,42910.25734,2.710881461
42910.25735,4.128062293,42910.25736,0,42910.25735,2.891606892
42910.25736,4.128062293,42910.25737,0,42910.25736,3.072332323
42910.25737,4.128062293,42910.25738,0,42910.25737,3.795234045
42910.25738,4.128062293,42910.2574,0,42910.25738,3.614508615
42910.2574,4.128062293,42910.25741,0,42910.2574,3.072332323
42910.25741,4.128062293,42910.25742,0,42910.25741,8.855546106
