Depth(X),Depth(Y),Depth_dt(X),Depth_dt(Y),Tension(X),Tension(Y)
42914.52965,-0.5,42914.52966,0,42914.52965,-3.208438037
42914.52966,-0.5,42914.52968,0,42914.52966,-2.35285456
42914.52968,-0.5,42914.52969,0,42914.52968,-2.780646298
42914.52969,-0.5,42914.5297,0,42914.52969,-2.780646298
42914.5297,-0.5,42914.52971,0,42914.5297,-2.35285456
42914.52971,-0.5,42914.52972,0,42914.52971,-2.780646298
42914.52972,-0.5,42914.52973,0,42914.52972,-0.855583476
42914.52973,-0.5,42914.52975,0,42914.52973,-1.069479346
42914.52975,-0.5,42914.52976,0,42914.52975,-1.925062822
42914.52976,-0.5,42914.52977,0,42914.52976,-1.711166953
42914.52977,-0.5,42914.52978,0,42914.52977,-1.925062822
42914.52978,-0.5,42914.52979,0,42914.52978,-1.711166953
42914.52979,-0.5,42914.5298,0,42914.52979,-1.925062822
42914.5298,-0.5,42914.52981,0,42914.5298,-1.069479346
42914.52981,-0.5,42914.52983,0,42914.52981,-2.35285456
42914.52983,-0.5,42914.52984,1.367573131,42914.52983,-2.566750429
42914.52984,-0.477207109,42914.52985,0.19536773,42914.52984,-2.35285456
42914.52985,-0.473950982,42914.52986,0.781470361,42914.52985,-2.780646298
42914.52986,-0.460926473,42914.52987,6.642498065,42914.52986,-0.213895869
42914.52987,-0.350218145,42914.52988,11.72206379,42914.52987,-3.208438037
42914.52988,-0.154850508,42914.5299,24.61631636,42914.52988,-1.711166953
42914.5299,0.255421529,42914.52991,29.10978481,42914.5299,-3.422333906
42914.52991,0.740584493,42914.52992,30.67271165,42914.52991,-1.497271084
42914.52992,1.251796476,42914.52993,32.43101996,42914.52992,0.855583476
42914.52993,1.792313604,42914.52994,33.01714635,42914.52993,-2.35285456
42914.52994,2.342599114,42914.52995,33.40785791,42914.52994,-1.925062822
42914.52995,2.899396879,42914.52997,32.62638755,42914.52995,-2.566750429
42914.52997,3.443170135,42914.52998,32.82177862,42914.52997,-3.208438037
42914.52998,3.990199517,42914.52999,31.84491719,42914.52998,-1.711166953
42914.52999,4.520948264,42914.53,34.77544763,42914.52999,-1.069479346
42914.53,5.100538919,42914.53001,33.40785791,42914.53,-2.780646298
42914.53001,5.657336684,42914.53002,32.82175514,42914.53001,-1.925062822
42914.53002,6.204366067,42914.53003,33.79861727,42914.53002,-1.925062822
42914.53003,6.767676086,42914.53005,30.08660888,42914.53003,-2.566750429
42914.53005,7.269119687,42914.53006,30.47734406,42914.53005,-1.711166953
42914.53006,7.777075543,42914.53007,29.50052721,42914.53006,-0.213895869
42914.53007,8.268750762,42914.53008,29.10977093,42914.53007,-1.497271084
42914.53008,8.753913726,42914.53009,29.50052018,42914.53008,-2.566750429
42914.53009,9.245588945,42914.5301,28.32830733,42914.53009,-2.566750429
42914.5301,9.717727401,42914.53012,30.08660888,42914.5301,-1.069479346
42914.53012,10.219171,42914.53013,29.50052018,42914.53012,-2.566750429
42914.53013,10.71084622,42914.53014,28.13293298,42914.53013,-1.069479346
42914.53014,11.17972855,42914.53015,29.50050611,42914.53014,-3.636229775
42914.53015,11.67140377,42914.53016,30.0866304,42914.53015,-1.497271084
42914.53016,12.17284737,42914.53017,28.13293298,42914.53016,-1.925062822
42914.53017,12.6417297,42914.53019,29.6958737,42914.53017,-3.208438037
42914.53019,13.13666104,42914.5302,29.50052721,42914.53019,-2.35285456
42914.5302,13.62833626,42914.53021,29.89124129,42914.5302,-1.711166953
42914.53021,14.12652374,42914.53022,29.50052018,42914.53021,-1.497271084
42914.53022,14.61819896,42914.53023,29.6958737,42914.53022,-1.497271084
42914.53023,15.1131303,42914.53024,26.76535985,42914.53023,-1.711166953
42914.53024,15.55921974,42914.53025,29.89126267,42914.53024,-0.641687607
42914.53025,16.05740721,42914.53027,25.59315431,42914.53025,-1.497271084
42914.53027,16.48395989,42914.53028,27.35146262,42914.53027,-0.855583476
42914.53028,16.93981771,42914.53029,23.83486305,42914.53028,-0.641687607
42914.53029,17.33706523,42914.5303,27.93756539,42914.53029,-0.855583476
42914.5303,17.80269143,42914.53031,24.22559273,42914.5303,-2.35285456
42914.53031,18.20645122,42914.53032,28.52366816,42914.53031,-1.069479346
42914.53032,18.6818458,42914.53034,23.834846,42914.53032,-1.711166953
42914.53034,19.07909333,42914.53035,26.76537899,42914.53034,-1.711166953
42914.53035,19.52518276,42914.53036,25.98388949,42914.53035,-2.566750429
42914.53036,19.95824769,42914.53037,25.00705154,42914.53036,-1.925062822
42914.53037,20.37503198,42914.53038,24.42096624,42914.53037,-1.497271084
42914.53038,20.78204789,42914.53039,23.44411082,42914.53038,-1.925062822
42914.53039,21.17278317,42914.53041,22.2719159,42914.53039,-2.35285456
42914.53041,21.54398168,42914.53042,22.66264046,42914.53041,-18.82283648
42914.53042,21.92169244,42914.53043,20.12286179,42914.53042,-1.497271084
42914.53043,22.25707355,42914.53044,20.31824391,42914.53043,-2.780646298
42914.53044,22.59571079,42914.53045,12.69889336,42914.53044,-2.566750429
42914.53045,22.80735906,42914.53046,25.20241913,42914.53045,-1.925062822
42914.53046,23.22739948,42914.53047,21.09971483,42914.53046,-3.208438037
42914.53047,23.57906123,42914.53049,7.228600835,42914.53047,-1.711166953
42914.53049,23.69953794,42914.5305,0,42914.53049,-1.711166953
42914.5305,23.69953794,42914.53051,-0.19536759,42914.5305,-2.780646298
42914.53051,23.69628181,42914.53052,0,42914.53051,-2.35285456
42914.53052,23.69628181,42914.53053,-0.19536773,42914.53052,-1.711166953
42914.53053,23.69302568,42914.53054,0,42914.53053,-2.35285456
42914.53054,23.69302568,42914.53056,-0.19536759,42914.53054,-1.711166953
42914.53056,23.68976955,42914.53057,0,42914.53056,-2.566750429
42914.53057,23.68976955,42914.53058,-0.19536759,42914.53057,-1.925062822
42914.53058,23.68651343,42914.53059,-0.19536759,42914.53058,-2.780646298
42914.53059,23.6832573,42914.5306,0,42914.53059,-2.35285456
42914.5306,23.6832573,42914.53061,0,42914.5306,-3.208438037
42914.53061,23.6832573,42914.53063,-0.195367683,42914.53061,-2.566750429
42914.53063,23.68000117,42914.53064,0,42914.53063,-1.069479346
42914.53064,23.68000117,42914.53065,0,42914.53064,-2.35285456
42914.53065,23.68000117,42914.53066,0,42914.53065,-2.35285456
42914.53066,23.68000117,42914.53067,0,42914.53066,-1.925062822
42914.53067,23.68000117,42914.53068,0,42914.53067,-1.069479346
42914.53068,23.68000117,42914.53069,0,42914.53068,-1.711166953
42914.53069,23.68000117,42914.53071,0,42914.53069,-3.422333906
42914.53071,23.68000117,42914.53072,0,42914.53071,-1.925062822
42914.53072,23.68000117,42914.53073,0,42914.53072,-1.925062822
42914.53073,23.68000117,42914.53074,0,42914.53073,-1.069479346
42914.53074,23.68000117,42914.53075,0,42914.53074,-1.069479346
42914.53075,23.68000117,42914.53076,0,42914.53075,-1.069479346
42914.53076,23.68000117,42914.53078,0,42914.53076,-2.780646298
42914.53078,23.68000117,42914.53079,0,42914.53078,-2.566750429
42914.53079,23.68000117,42914.5308,0,42914.53079,-1.711166953
42914.5308,23.68000117,42914.53081,0,42914.5308,-0.855583476
42914.53081,23.68000117,42914.53082,0,42914.53081,-2.35285456
42914.53082,23.68000117,42914.53083,0,42914.53082,-2.566750429
42914.53083,23.68000117,42914.53084,0,42914.53083,-1.711166953
42914.53084,23.68000117,42914.53086,0,42914.53084,-2.566750429
42914.53086,23.68000117,42914.53087,0,42914.53086,-3.422333906
42914.53087,23.68000117,42914.53088,0,42914.53087,-1.925062822
42914.53088,23.68000117,42914.53089,0,42914.53088,-2.566750429
42914.53089,23.68000117,42914.5309,0,42914.53089,-2.35285456
42914.5309,23.68000117,42914.53091,0,42914.5309,-2.780646298
42914.53091,23.68000117,42914.53093,0,42914.53091,-2.780646298
42914.53093,23.68000117,42914.53094,0,42914.53093,-1.069479346
42914.53094,23.68000117,42914.53095,0,42914.53094,-1.925062822
42914.53095,23.68000117,42914.53096,0,42914.53095,-2.780646298
42914.53096,23.68000117,42914.53097,0,42914.53096,-2.780646298
42914.53097,23.68000117,42914.53098,0,42914.53097,-1.925062822
42914.53098,23.68000117,42914.531,0,42914.53098,-1.711166953
42914.531,23.68000117,42914.53101,0,42914.531,-3.208438037
42914.53101,23.68000117,42914.53102,0,42914.53101,-1.711166953
42914.53102,23.68000117,42914.53103,0,42914.53102,-2.35285456
42914.53103,23.68000117,42914.53104,0,42914.53103,-3.208438037
42914.53104,23.68000117,42914.53105,0,42914.53104,-1.925062822
42914.53105,23.68000117,42914.53106,0,42914.53105,-2.35285456
42914.53106,23.68000117,42914.53108,0,42914.53106,-2.566750429
42914.53108,23.68000117,42914.53109,0,42914.53108,-1.497271084
42914.53109,23.68000117,42914.5311,0,42914.53109,-1.711166953
42914.5311,23.68000117,42914.53111,0,42914.5311,-1.925062822
42914.53111,23.68000117,42914.53112,0,42914.53111,-1.711166953
42914.53112,23.68000117,42914.53113,0,42914.53112,-3.208438037
42914.53113,23.68000117,42914.53115,0,42914.53113,-2.566750429
42914.53115,23.68000117,42914.53116,0,42914.53115,-0.641687607
42914.53116,23.68000117,42914.53117,0,42914.53116,-2.780646298
42914.53117,23.68000117,42914.53118,0,42914.53117,-1.925062822
42914.53118,23.68000117,42914.53119,0,42914.53118,-2.35285456
42914.53119,23.68000117,42914.5312,0,42914.53119,-2.566750429
42914.5312,23.68000117,42914.53122,0,42914.5312,-1.497271084
42914.53122,23.68000117,42914.53123,0,42914.53122,-1.069479346
42914.53123,23.68000117,42914.53124,0,42914.53123,-3.208438037
42914.53124,23.68000117,42914.53125,0,42914.53124,-1.069479346
42914.53125,23.68000117,42914.53126,0,42914.53125,-2.35285456
42914.53126,23.68000117,42914.53127,0,42914.53126,-3.208438037
42914.53127,23.68000117,42914.53128,0,42914.53127,-0.641687607
42914.53128,23.68000117,42914.5313,0,42914.53128,-2.566750429
42914.5313,23.68000117,42914.53131,0,42914.5313,-3.208438037
42914.53131,23.68000117,42914.53132,0,42914.53131,-2.566750429
42914.53132,23.68000117,42914.53133,0,42914.53132,-2.566750429
42914.53133,23.68000117,42914.53134,0,42914.53133,-1.925062822
42914.53134,23.68000117,42914.53135,0,42914.53134,-1.711166953
42914.53135,23.68000117,42914.53137,0,42914.53135,-1.711166953
42914.53137,23.68000117,42914.53138,0,42914.53137,-3.208438037
42914.53138,23.68000117,42914.53139,0,42914.53138,-2.35285456
42914.53139,23.68000117,42914.5314,0,42914.53139,-1.711166953
42914.5314,23.68000117,42914.53141,0,42914.5314,-2.780646298
42914.53141,23.68000117,42914.53142,0,42914.53141,-2.35285456
42914.53142,23.68000117,42914.53144,0,42914.53142,-2.780646298
42914.53144,23.68000117,42914.53145,0,42914.53144,-0.855583476
42914.53145,23.68000117,42914.53146,0,42914.53145,-2.780646298
42914.53146,23.68000117,42914.53147,0,42914.53146,-3.422333906
42914.53147,23.68000117,42914.53148,0,42914.53147,-3.422333906
42914.53148,23.68000117,42914.53149,0,42914.53148,-2.780646298
42914.53149,23.68000117,42914.5315,0,42914.53149,-1.711166953
42914.5315,23.68000117,42914.53152,0,42914.5315,-3.208438037
42914.53152,23.68000117,42914.53153,0,42914.53152,-2.566750429
42914.53153,23.68000117,42914.53154,0,42914.53153,-3.636229775
42914.53154,23.68000117,42914.53155,0,42914.53154,-2.35285456
42914.53155,23.68000117,42914.53156,0,42914.53155,-1.925062822
42914.53156,23.68000117,42914.53157,0,42914.53156,-1.925062822
42914.53157,23.68000117,42914.53159,0,42914.53157,-2.780646298
42914.53159,23.68000117,42914.5316,0,42914.53159,-4.064021513
42914.5316,23.68000117,42914.53161,0,42914.5316,-2.566750429
42914.53161,23.68000117,42914.53162,0,42914.53161,-2.35285456
42914.53162,23.68000117,42914.53163,0,42914.53162,-1.711166953
42914.53163,23.68000117,42914.53164,0,42914.53163,-1.925062822
42914.53164,23.68000117,42914.53166,0,42914.53164,-4.064021513
42914.53166,23.68000117,42914.53167,0,42914.53166,-3.208438037
42914.53167,23.68000117,42914.53168,0,42914.53167,-2.35285456
42914.53168,23.68000117,42914.53169,0,42914.53168,-2.35285456
42914.53169,23.68000117,42914.5317,0,42914.53169,-1.069479346
42914.5317,23.68000117,42914.53171,0,42914.5317,-3.208438037
42914.53171,23.68000117,42914.53172,0,42914.53171,-1.069479346
42914.53172,23.68000117,42914.53174,0,42914.53172,-1.925062822
42914.53174,23.68000117,42914.53175,0,42914.53174,-3.636229775
42914.53175,23.68000117,42914.53176,0,42914.53175,-4.064021513
42914.53176,23.68000117,42914.53177,0,42914.53176,-2.780646298
42914.53177,23.68000117,42914.53178,0,42914.53177,-1.925062822
42914.53178,23.68000117,42914.53179,0,42914.53178,-3.636229775
42914.53179,23.68000117,42914.53181,0,42914.53179,-3.636229775
42914.53181,23.68000117,42914.53182,0,42914.53181,-3.422333906
42914.53182,23.68000117,42914.53183,0,42914.53182,-3.422333906
42914.53183,23.68000117,42914.53184,0,42914.53183,-1.497271084
42914.53184,23.68000117,42914.53185,0,42914.53184,-3.422333906
42914.53185,23.68000117,42914.53186,0,42914.53185,-2.780646298
42914.53186,23.68000117,42914.53188,0,42914.53186,-1.711166953
42914.53188,23.68000117,42914.53189,0,42914.53188,-2.780646298
42914.53189,23.68000117,42914.5319,0,42914.53189,-3.208438037
42914.5319,23.68000117,42914.53191,0,42914.5319,-1.711166953
42914.53191,23.68000117,42914.53192,0,42914.53191,-1.925062822
42914.53192,23.68000117,42914.53193,0,42914.53192,-1.497271084
42914.53193,23.68000117,42914.53194,0,42914.53193,-1.925062822
42914.53194,23.68000117,42914.53196,0,42914.53194,-1.711166953
42914.53196,23.68000117,42914.53197,0,42914.53196,-2.35285456
42914.53197,23.68000117,42914.53198,0,42914.53197,-3.422333906
42914.53198,23.68000117,42914.53199,0,42914.53198,-2.35285456
42914.53199,23.68000117,42914.532,0,42914.53199,-3.422333906
42914.532,23.68000117,42914.53201,0,42914.532,-1.497271084
42914.53201,23.68000117,42914.53203,0,42914.53201,-1.925062822
42914.53203,23.68000117,42914.53204,0,42914.53203,-1.925062822
42914.53204,23.68000117,42914.53205,0,42914.53204,-2.780646298
42914.53205,23.68000117,42914.53206,0,42914.53205,-1.925062822
42914.53206,23.68000117,42914.53207,0,42914.53206,-1.497271084
42914.53207,23.68000117,42914.53208,0,42914.53207,-2.566750429
42914.53208,23.68000117,42914.53209,0,42914.53208,-1.497271084
42914.53209,23.68000117,42914.53211,0,42914.53209,-2.35285456
42914.53211,23.68000117,42914.53212,0,42914.53211,-2.35285456
42914.53212,23.68000117,42914.53213,0,42914.53212,-2.35285456
42914.53213,23.68000117,42914.53214,0,42914.53213,-1.497271084
42914.53214,23.68000117,42914.53215,0,42914.53214,-1.925062822
42914.53215,23.68000117,42914.53216,0,42914.53215,-1.925062822
42914.53216,23.68000117,42914.53218,0,42914.53216,-1.925062822
42914.53218,23.68000117,42914.53219,0,42914.53218,-2.566750429
42914.53219,23.68000117,42914.5322,0,42914.53219,-1.925062822
42914.5322,23.68000117,42914.53221,0,42914.5322,-2.35285456
42914.53221,23.68000117,42914.53222,0,42914.53221,-1.925062822
42914.53222,23.68000117,42914.53223,0,42914.53222,-2.566750429
42914.53223,23.68000117,42914.53225,0,42914.53223,-2.35285456
42914.53225,23.68000117,42914.53226,0,42914.53225,-0.213895869
42914.53226,23.68000117,42914.53227,0,42914.53226,-2.35285456
42914.53227,23.68000117,42914.53228,0,42914.53227,-1.925062822
42914.53228,23.68000117,42914.53229,0,42914.53228,-2.566750429
42914.53229,23.68000117,42914.5323,0,42914.53229,-2.35285456
42914.5323,23.68000117,42914.53231,0,42914.5323,-1.925062822
42914.53231,23.68000117,42914.53233,0,42914.53231,-3.208438037
42914.53233,23.68000117,42914.53234,0,42914.53233,-0.855583476
42914.53234,23.68000117,42914.53235,0,42914.53234,-1.497271084
42914.53235,23.68000117,42914.53236,0,42914.53235,-1.069479346
42914.53236,23.68000117,42914.53237,0,42914.53236,-2.35285456
42914.53237,23.68000117,42914.53238,0,42914.53237,-2.566750429
42914.53238,23.68000117,42914.5324,0,42914.53238,-3.636229775
42914.5324,23.68000117,42914.53241,0,42914.5324,-2.35285456
42914.53241,23.68000117,42914.53242,0,42914.53241,-2.780646298
42914.53242,23.68000117,42914.53243,0,42914.53242,-1.069479346
42914.53243,23.68000117,42914.53244,0,42914.53243,-2.35285456
42914.53244,23.68000117,42914.53245,0,42914.53244,-3.422333906
42914.53245,23.68000117,42914.53247,0,42914.53245,-4.277917382
42914.53247,23.68000117,42914.53248,0,42914.53247,-3.636229775
42914.53248,23.68000117,42914.53249,0,42914.53248,-2.566750429
42914.53249,23.68000117,42914.5325,0,42914.53249,-1.925062822
42914.5325,23.68000117,42914.53251,0,42914.5325,-2.566750429
42914.53251,23.68000117,42914.53252,0,42914.53251,-1.925062822
42914.53252,23.68000117,42914.53253,0,42914.53252,-2.35285456
42914.53253,23.68000117,42914.53255,0,42914.53253,-1.711166953
42914.53255,23.68000117,42914.53256,0,42914.53255,-2.780646298
42914.53256,23.68000117,42914.53257,0,42914.53256,-2.35285456
42914.53257,23.68000117,42914.53258,0,42914.53257,-1.925062822
42914.53258,23.68000117,42914.53259,0,42914.53258,-2.780646298
42914.53259,23.68000117,42914.5326,0,42914.53259,-3.636229775
42914.5326,23.68000117,42914.53262,0,42914.5326,-2.35285456
42914.53262,23.68000117,42914.53263,0,42914.53262,-2.35285456
42914.53263,23.68000117,42914.53264,0,42914.53263,-1.711166953
42914.53264,23.68000117,42914.53265,0,42914.53264,-1.925062822
42914.53265,23.68000117,42914.53266,0,42914.53265,-3.208438037
42914.53266,23.68000117,42914.53267,0,42914.53266,-0.855583476
42914.53267,23.68000117,42914.53269,0,42914.53267,-1.711166953
42914.53269,23.68000117,42914.5327,0,42914.53269,-2.566750429
42914.5327,23.68000117,42914.53271,0,42914.5327,-1.711166953
42914.53271,23.68000117,42914.53272,0,42914.53271,-1.925062822
42914.53272,23.68000117,42914.53273,0,42914.53272,-2.35285456
42914.53273,23.68000117,42914.53274,0,42914.53273,-1.925062822
42914.53274,23.68000117,42914.53275,0,42914.53274,-1.925062822
42914.53275,23.68000117,42914.53277,0,42914.53275,-1.497271084
42914.53277,23.68000117,42914.53278,0,42914.53277,-1.925062822
42914.53278,23.68000117,42914.53279,0,42914.53278,-2.780646298
42914.53279,23.68000117,42914.5328,0,42914.53279,-2.35285456
42914.5328,23.68000117,42914.53281,0,42914.5328,-1.711166953
42914.53281,23.68000117,42914.53282,0,42914.53281,-1.711166953
42914.53282,23.68000117,42914.53284,0,42914.53282,-2.780646298
