Depth(X),Depth(Y),Depth_dt(X),Depth_dt(Y),Tension(X),Tension(Y)
42909.47782,55.85935932,42909.47784,0,42909.47782,49.51876802
42909.47784,55.85935932,42909.47785,0,42909.47784,49.69949345
42909.47785,55.85935932,42909.47786,0,42909.47785,50.78384604
42909.47786,55.85935932,42909.47787,-21.93742396,42909.47786,57.28996154
42909.47787,55.4937355,42909.47788,-4.687487106,42909.47787,66.32623308
42909.47788,55.41561075,42909.47789,-4.499984403,42909.47788,56.92851068
42909.47789,55.34061099,42909.47791,-16.87494151,42909.47789,76.08540634
42909.47791,55.0593619,42909.47792,0,42909.47791,56.56705982
42909.47792,55.0593619,42909.47793,3.937486352,42909.47792,66.14550765
42909.47793,55.12498669,42909.47794,1.874994842,42909.47793,52.41037491
42909.47794,55.15623659,42909.47795,0,42909.47794,38.31379132
42909.47795,55.15623659,42909.47796,-2.437491552,42909.47795,38.31379132
42909.47796,55.11561172,42909.47797,-21.3749412,42909.47796,98.31463432
42909.47797,54.75936287,42909.47799,-11.62495971,42909.47797,109.1581602
42909.47799,54.56561349,42909.478,-9.187468156,42909.47799,110.4232382
42909.478,54.41248899,42909.47801,-7.68747702,42909.478,113.3148451
42909.47801,54.2843644,42909.47802,-7.124975304,42909.47801,112.0497671
42909.47802,54.16561478,42909.47803,-7.499979369,42909.47802,112.4112179
42909.47803,54.04061519,42909.47804,-0.56249805,42909.47803,113.3148451
42909.47804,54.03124022,42909.47806,0,42909.47804,108.7967093
42909.47806,54.03124022,42909.47807,0,42909.47806,111.8690416
42909.47807,54.03124022,42909.47808,1.687494151,42909.47807,111.3268653
42909.47808,54.05936513,42909.47809,1.312495451,42909.47808,73.19379945
42909.47809,54.08124005,42909.4781,0,42909.47809,85.12167788
42909.4781,54.08124005,42909.47811,0,42909.4781,85.12167788
42909.47811,54.08124005,42909.47813,-18.37494945,42909.47811,85.8445796
42909.47813,53.77499104,42909.47814,-25.12491292,42909.47813,126.3270761
42909.47814,53.35624239,42909.47815,-19.12493371,42909.47814,133.5560933
42909.47815,53.03749342,42909.47816,-10.6874706,42909.47815,138.2549545
42909.47816,52.859369,42909.47817,0,42909.47816,125.2427235
42909.47817,52.859369,42909.47818,0,42909.47817,130.3030356
42909.47818,52.859369,42909.47819,0,42909.47818,127.2307032
42909.47819,52.859369,42909.47821,0,42909.47819,125.6041744
42909.47821,52.859369,42909.47822,-4.124985703,42909.47821,143.8574429
42909.47822,52.79061922,42909.47823,-23.2499305,42909.47822,155.0624196
42909.47823,52.40312047,42909.47824,-6.187478554,42909.47823,130.8452119
42909.47824,52.2999958,42909.47825,-9.562473696,42909.47824,156.8696739
42909.47825,52.14062132,42909.47826,0,42909.47825,153.2551653
42909.47826,52.14062132,42909.47828,0,42909.47826,136.6284256
42909.47828,52.14062132,42909.47829,0,42909.47828,139.3393071
42909.47829,52.14062132,42909.4783,0,42909.47829,138.6164054
42909.4783,52.14062132,42909.47831,0,42909.4783,129.218683
42909.47831,52.14062132,42909.47832,-13.12496077,42909.47831,160.6649079
42909.47832,51.92187202,42909.47833,-29.43739797,42909.47832,183.9784885
42909.47833,51.43124861,42909.47834,-26.24992779,42909.47833,178.0145493
42909.47834,50.99375002,42909.47836,-5.062482453,42909.47834,178.1952747
42909.47836,50.90937529,42909.47837,0,42909.47836,178.737451
42909.47837,50.90937529,42909.47838,0,42909.47837,177.1109221
42909.47838,50.90937529,42909.47839,0,42909.47838,180.9061562
42909.47839,50.90937529,42909.4784,0,42909.47839,177.8338238
42909.4784,50.90937529,42909.47841,0,42909.4784,177.2916476
42909.47841,50.90937529,42909.47843,0,42909.47841,176.5687458
42909.47843,50.90937529,42909.47844,0,42909.47843,176.0265695
42909.47844,50.90937529,42909.47845,0,42909.47844,180.7254307
42909.47845,50.90937529,42909.47846,0,42909.47845,188.1351734
42909.47846,50.90937529,42909.47847,0.374998968,42909.47846,172.4120609
42909.47847,50.91562527,42909.47848,5.062482453,42909.47847,178.0145493
42909.47848,51,42909.4785,4.312485053,42909.47848,185.4242919
42909.4785,51.07187477,42909.47851,0.18749944,42909.4785,192.6533092
42909.47851,51.07499976,42909.47852,0,42909.47851,191.9304074
42909.47852,51.07499976,42909.47853,0,42909.47852,188.8580751
42909.47853,51.07499976,42909.47854,0,42909.47853,190.3038786
42909.47854,51.07499976,42909.47855,0,42909.47854,190.3038786
42909.47855,51.07499976,42909.47856,0,42909.47855,188.1351734
42909.47856,51.07499976,42909.47858,0,42909.47856,187.5929971
42909.47858,51.07499976,42909.47859,0,42909.47858,194.6412889
42909.47859,51.07499976,42909.4786,0,42909.47859,179.4603527
42909.4786,51.07499976,42909.47861,0,42909.4786,185.0628411
42909.47861,51.07499976,42909.47862,0,42909.47861,185.2435665
42909.47862,51.07499976,42909.47863,0,42909.47862,185.4242919
42909.47863,51.07499976,42909.47865,0,42909.47863,183.6170376
